A,Alg,C ABA'B' C'
AD,r' U r' B2 r U' r' B2 r2,"r' U r' [B2, L F' L'] r U' r"
AE,U' R2 D R' U2 R D' R' U2 R' U,"U' R [R D R', U2] R' U"
AF,x U R U' L U R' U' r',"x [U R U', L] x'"
AG,x' R2 D2 R' U' R D2 R' U l',"x' R2 [D2, R' U' R] R2 x"
AH,x' U L' U' R U L U' l',"x' [U L' U', R] x"
AI,U' R' U2 R' D' R U2 R' D R2 U,"U' R' [U2, R' D' R] R U"
AW,D' L2 D' R2 D L2 D' R2 D2,"D' [L2, D' R2 D] D"
AM,R' D R U' R' D' R U,"[R' D R, U']"
AN,D R' D' R U' R' D R e',"D [R' D' R, U'] D'"
AO,L2 D' R2 D L2 D' R2 D,"[L2, D' R2 D]"
AP,R' D2 R U' R' D2 R U,"[R' D2 R, U']"
AQ,U2 L' D' L U' L' D L U',"U2 [L' D' L, U'] U2"
AR,D L2 D' R2 D L2 D' R2,"[D L2 D', R2]"
AS,U' R D R' U' R D' R' U2,"U' [R D R', U'] U"
AT,U L D2 L' U' L D2 L',"[U, L D2 L']"
AX,R' F' R2 F R U' R' F' R2 F R U,"[R' F' R2 F R, U']"
AY,D' R' D R U' R' D' R D U,"[D' R' D R, U']"
AZ,R' D' R U' R' D R U,"[R' D' R, U']"
,,
D,Alg,C ABA'B' C'
DA, r2 B2 L F L' B2 r U' r,"r2 [B2, L F L'] r2"
DB,L' U2 R' D2 R U2 R' D2 R L,"L' [R' D2 R, U2] L"
DC,x' U2 R2 U' L2 U R2 U' L2 U' x,"x' U [U R2 U', L2] U' x"
DG,x R' U R' D2 R U' R' D2 R2 x',"x R2 [R U R', D2] x'"
DH,r2 B2 r U2 r' B2 r U2 r,"r2 [B2, L F2 L'] r2"
DI,U r U2 L D2 L' U2 L D2 L' r' U',"U r [U2, L D2 L'] r' U'"
DW,z U R'F'R2FR U2 R'F'R2FR U z',"z U [R'F'R2FR, U2] U' z'"
DM,R' D R U2 R' D' R U2,"[R' D R, U2]"
DN,y' U2 L D' L' U2 L D L' y,"y' [U2, L D' L'] y"
DO,R2 U2 R2 U L2 U' R2 U L2 U R2,"R2 U2 [R2, U L2 U'] U2 R2"
DP,R' D2 R U2 R' D2 R U2,"[R' D2 R, U2]"
DQ,U2 L' D' L U2 L' D L,"[U2, L' D' L]"
DR,x' U' R'F'R2FR U2 R'F'R2FR U' x,"x' U' [R'F'R2FR, U2] U' z'"
DS,U2 L' D L U2 L' D' L,"[U2, L' D L]"
DT,r2 B2 r U' r' B2 r U r,"r2 [B2, L F' L'] r2"
DX,R'F'R2FR U2 R'F'R2FR U2,"[R'F'R2FR, U2]"
DY,U2 L' D2 L U2 L' D2 L,"[U2, L' D2 L]"
DZ,R' D' R U2 R' D R U2,"[R' D' R, U2]"
,,
G,Alg,C ABA'B' C'
GA,x' R U' R D2 R' U R D2 R2 x,"R2 [R'U'R, D2] R2"
GB,R U2 R D R' U2 R D' R2,"R2 [R' U2 R, D] R2"
GC,x' D R U R' D' R U' R' x,"x' [D, R U R'] x"
GD,x R2 D2 R U R' D2 R U' R x',"x R2 [D2, R U R'] R2 x'"
GE,x' R' D' R U' R' D R U x,"x' [R' D' R, U'] x"
GF,R2 D' R U2 R' D R U2 R,"R' [R' D' R, U2] R"
GW,x' D2 R U R' D2 R U' R' x,"x' [D2, R U R'] x"
GM,R' D R U R' D' R U',"[R' D R, U]"
GN,U' R D2 R' U R D2 R',"[U', R D2 R']"
GO,x' R' D' R U2 R' D R U2 x,"x' [R' D' R, U2] x"
GP,R' D2 R U R' D2 R U',"[R' D2 R, U]"
GQ,U' R D' R' U R D R',"[U', R D' R']"
GR,U R2 D L2 D' R2 D L2 D' U',"U [R2, D L2 D'] U'"
GS,U' R D R' U R D' R',"[U', R D R']"
GT,y L D' L' U L D L' U' y',"y [L D' L', U] y'"
GX,R' F' R2 F R U R' F' R2 F R U',"[R' F' R2 F R, U]"
GY,y U' R' D R U R' D' R y',"y [U', R' D R] y'"
GZ,R' D' R U R' D R U',"[R' D' R, U]"
,,
W,Alg,C ABA'B' C'
WA,D2 R2 D L2 D' R2 D L2 D,"D' [D' R2 D, L2] D"
WB,R U2 R D2 R' U2 R D2 R2,"R [U2, R D2 R'] R'"
WC,U' R U' L2 U R' U' R2 L2 U2,"U2 [U R U', L2] U2"
WD,z U' R'F'R2FR U2 R'F'R2FR U' z',"z U' [R'F'R2FR, U2] U z'"
WE,R U R D2 R' U' R D2 R2,"R2 [R' U R, D2] R2"
WF,x' R U' R' D2 R U R' D2 x,"x' [R U' R', D2] x"
WG,x' R U R' D2 R U' R' D2 x,"x' [R U R', D2] x"
WH,x' D2 L U2 L' D2 L U2 L' x,"x' [D2, L U2 L'] x"
WI,F U' R'F'R2FR U2 R'F'R2FR U' F',"F U' [R'F'R2FR, U2] U F'"
